Date,Open,High,Low,Close,Volume
03/06/2025,"113.53","115.35","110.22","110.57","321,181,875"
03/05/2025,"117.58","118.28","114.51","117.30","284,337,875"
03/04/2025,"110.65","119.31","110.11","115.99","398,163,281"
03/03/2025,"123.51","123.70","112.28","114.06","411,381,406"
02/28/2025,"118.02","125.09","116.40","124.92","389,091,094"
02/27/2025,"135.00","135.01","120.01","120.15","443,175,812"
02/26/2025,"129.99","133.73","128.49","131.28","322,553,781"
02/25/2025,"129.98","130.20","124.44","126.63","271,428,719"
02/24/2025,"136.56","138.59","130.08","130.28","251,381,109"
02/21/2025,"140.04","141.46","134.03","134.43","228,217,594"
02/20/2025,"140.03","140.66","136.79","140.11","143,903,594"
02/19/2025,"139.51","141.36","137.22","139.23","167,536,000"
02/18/2025,"141.27","143.44","137.93","139.40","219,176,609"
02/14/2025,"136.48","139.25","135.50","138.85","195,479,594"
02/13/2025,"131.56","136.50","131.17","135.29","197,430,000"
02/12/2025,"130.02","132.24","129.08","131.14","160,278,594"
02/11/2025,"132.58","134.48","131.02","132.80","178,902,406"
02/10/2025,"130.09","135.00","129.96","133.57","216,989,109"
02/07/2025,"129.22","130.37","125.00","129.84","228,186,297"
02/06/2025,"127.42","128.77","125.21","128.68","251,483,594"
02/05/2025,"121.76","125.00","120.76","124.83","263,110,594"
02/04/2025,"116.96","121.20","116.70","118.65","256,550,000"
